Precinct,Number of Cases
100,936
101,1686
102,2477
103,6187
104,1918
105,2521
106,2141
107,1850
108,1665
109,3352
110,4796
111,695
112,1434
113,3946
114,3100
115,4425
116,88
Outside Queens,41
