Charge,Number of Cases
Assault,14178
"Larceny, Theft, Burglary, Fraud",11864
Drug,3237
"Contempt, Resist, Obstruct",3100
Traffic,3050
"Robbery, Sex offense, Homicide, Kidnapping",2535
Criminal mischief,1691
Firearm/Weapon,1608
